customer_id,signup_date,state,age_group,customer_segment,risk_tier
CUST00514,2023-03-01,GA,55+,Standard,High
CUST00515,2023-05-18,WA,18-24,Standard,Low
CUST00516,2024-04-05,NJ,25-34,Premium,Low
CUST00517,2023-02-22,NC,18-24,Standard,Low
CUST00518,2023-03-16,NJ,55+,Standard,Medium
CUST00519,2023-08-11,WA,35-44,Standard,Medium
CUST00520,2023-01-16,NJ,18-24,Standard,Low
CUST00521,2025-02-03,TX,55+,Small Business,Low
CUST00522,2024-12-21,GA,35-44,Standard,Medium
CUST00523,2025-03-05,VA,35-44,Standard,Low
CUST00524,2023-11-12,PA,45-54,Standard,Low
CUST00525,2023-04-11,OH,35-44,Premium,Medium
CUST00526,2023-07-28,NC,25-34,Standard,Low
CUST00527,2025-01-29,CO,55+,Standard,Low
CUST00528,2024-08-16,TX,35-44,Premium,Low
CUST00529,2023-08-24,PA,55+,Standard,Medium
CUST00530,2024-11-01,OH,45-54,Small Business,Low
CUST00531,2025-01-10,CA,35-44,Standard,Low
CUST00532,2023-06-23,CA,55+,Standard,Low
CUST00533,2024-10-19,AZ,18-24,Small Business,Low
CUST00534,2025-04-17,IL,25-34,Premium,Medium
CUST00535,2024-10-07,MA,25-34,Standard,Medium
CUST00536,2024-06-01,VA,55+,Standard,Low
CUST00537,2024-05-09,GA,55+,Premium,Low
CUST00538,2024-02-26,FL,55+,Standard,Low
CUST00539,2023-10-21,VA,45-54,Standard,Medium
CUST00540,2025-04-05,CO,18-24,Small Business,Low
CUST00541,2024-06-20,GA,35-44,Standard,Low
CUST00542,2025-04-14,NY,35-44,Standard,Medium
CUST00543,2024-02-20,NJ,25-34,Standard,Low
CUST00544,2023-11-04,VA,18-24,Premium,Medium
CUST00545,2023-04-06,PA,18-24,Standard,Low
CUST00546,2024-10-14,PA,45-54,Standard,Low
CUST00547,2024-10-22,AZ,18-24,Premium,Low
CUST00548,2024-06-24,CO,55+,Small Business,Low
CUST00549,2024-05-01,VA,35-44,Standard,Medium
CUST00550,2024-07-10,CO,35-44,Standard,Low
CUST00551,2023-01-17,OH,45-54,Small Business,Low
CUST00552,2023-03-20,NC,45-54,Standard,Low
CUST00553,2024-11-24,OH,25-34,Premium,Low
CUST00554,2025-03-20,GA,35-44,Small Business,Medium
CUST00555,2023-02-24,NY,35-44,Standard,Low
CUST00556,2024-09-11,IL,35-44,Premium,High
CUST00557,2023-01-31,PA,45-54,Standard,Medium
CUST00558,2023-08-22,IL,25-34,Standard,High
CUST00559,2024-11-27,OH,55+,Standard,Low
CUST00560,2023-10-30,NY,35-44,Premium,Medium
CUST00561,2023-06-07,CA,45-54,Standard,Medium
CUST00562,2023-11-21,FL,45-54,Standard,Low
CUST00563,2024-01-04,NY,25-34,Premium,Low
CUST00564,2024-03-17,IL,18-24,Standard,Low
CUST00565,2023-01-27,NC,55+,Standard,Low
CUST00566,2025-03-14,FL,45-54,Standard,Low
CUST00567,2024-02-02,GA,25-34,Premium,Medium
CUST00568,2024-08-08,CA,25-34,Standard,Low
CUST00569,2023-10-03,NY,25-34,Standard,Low
CUST00570,2024-03-21,OH,18-24,Standard,Low
CUST00571,2024-01-05,VA,45-54,Standard,Low
CUST00572,2024-08-31,CA,35-44,Standard,Low
CUST00573,2023-01-07,NC,45-54,Small Business,Low
CUST00574,2025-04-03,IL,55+,Premium,Low
CUST00575,2023-05-20,NJ,25-34,Standard,Low
CUST00576,2024-05-05,WA,35-44,Standard,High
CUST00577,2025-01-22,NC,25-34,Premium,Low
CUST00578,2023-11-30,IL,35-44,Standard,Medium
CUST00579,2023-04-27,GA,25-34,Small Business,Low
CUST00580,2024-11-29,NJ,45-54,Premium,Low
CUST00581,2024-12-26,AZ,18-24,Standard,Medium
CUST00582,2025-04-18,VA,45-54,Premium,Medium
CUST00583,2023-05-23,VA,25-34,Standard,Low
CUST00584,2025-01-02,PA,55+,Standard,Low
CUST00585,2024-05-05,CO,45-54,Standard,Low
CUST00586,2024-07-10,NJ,55+,Standard,High
CUST00587,2024-08-31,OH,25-34,Standard,Low
CUST00588,2024-11-04,NC,18-24,Premium,Low
CUST00589,2024-07-30,IL,35-44,Small Business,Low
CUST00590,2025-03-26,FL,25-34,Standard,Low
CUST00591,2024-06-06,NJ,55+,Premium,Low
CUST00592,2023-08-15,OH,55+,Standard,Low
CUST00593,2024-12-08,MA,45-54,Standard,Low
CUST00594,2023-04-18,NY,18-24,Standard,Medium
CUST00595,2025-01-17,PA,25-34,Standard,Low
CUST00596,2024-06-17,PA,45-54,Standard,Low
CUST00597,2023-11-23,NJ,18-24,Standard,Low
CUST00598,2023-01-24,VA,25-34,Premium,Low
CUST00599,2025-01-28,CA,35-44,Standard,Low
CUST00600,2024-07-27,OH,45-54,Standard,Low
CUST00601,2024-10-06,IL,45-54,Standard,Low
CUST00602,2023-01-30,PA,55+,Premium,Medium
CUST00603,2024-03-15,TX,35-44,Standard,Medium
CUST00604,2025-02-09,NC,18-24,Premium,Medium
CUST00605,2025-03-29,WA,25-34,Premium,Low
CUST00606,2024-04-13,PA,55+,Standard,Low
CUST00607,2024-10-16,IL,55+,Standard,Low
CUST00608,2023-04-27,NC,25-34,Standard,Medium
CUST00609,2025-04-13,CO,55+,Premium,Medium
CUST00610,2024-08-27,NY,25-34,Standard,Low
CUST00611,2023-11-09,CA,55+,Standard,Low
CUST00612,2024-02-02,IL,45-54,Standard,Low
CUST00613,2023-07-10,CO,25-34,Standard,Low
CUST00614,2024-07-22,CA,35-44,Standard,Low
CUST00615,2024-04-06,MA,45-54,Standard,Medium
CUST00616,2023-05-20,GA,55+,Standard,Low
CUST00617,2024-10-30,IL,45-54,Standard,Low
CUST00618,2024-05-15,OH,25-34,Standard,Low
CUST00619,2023-10-27,FL,25-34,Standard,Low
CUST00620,2025-03-10,OH,45-54,Standard,Medium
CUST00621,2024-07-16,FL,55+,Standard,Low
CUST00622,2025-04-23,OH,18-24,Small Business,Low
CUST00623,2025-02-17,IL,18-24,Premium,Low
CUST00624,2025-01-23,FL,18-24,Premium,Medium
CUST00625,2024-04-05,NY,45-54,Standard,Medium
CUST00626,2023-05-01,OH,55+,Premium,Low
CUST00627,2024-12-06,VA,45-54,Standard,Medium
CUST00628,2023-06-19,AZ,25-34,Standard,Medium
CUST00629,2025-04-04,FL,55+,Standard,Low
CUST00630,2024-07-05,FL,35-44,Standard,High
CUST00631,2024-08-09,CO,18-24,Standard,Medium
CUST00632,2023-05-19,CO,18-24,Small Business,Medium
CUST00633,2023-10-11,AZ,25-34,Premium,Low
CUST00634,2023-09-13,TX,45-54,Standard,Low
CUST00635,2024-05-16,VA,45-54,Standard,Low
CUST00636,2024-01-20,CO,18-24,Standard,Low
CUST00637,2024-02-17,CO,35-44,Standard,Low
CUST00638,2024-04-10,MA,18-24,Small Business,Low
CUST00639,2025-01-18,NJ,35-44,Small Business,Low
CUST00640,2023-03-06,IL,25-34,Premium,Low
CUST00641,2024-05-21,WA,55+,Standard,Medium
CUST00642,2024-08-14,OH,35-44,Standard,Medium
CUST00643,2024-11-29,VA,45-54,Premium,Low
CUST00644,2023-01-17,PA,45-54,Standard,Medium
CUST00645,2023-01-01,NJ,25-34,Small Business,Low
CUST00646,2024-10-27,CO,35-44,Standard,Medium
CUST00647,2023-04-06,WA,25-34,Premium,Low
CUST00648,2023-02-23,NJ,25-34,Standard,Low
CUST00649,2024-03-15,MA,25-34,Premium,Medium
CUST00650,2024-05-03,GA,45-54,Standard,Low
